ID,Type,Amount,Date,Detail,Unit
172,expense,260.0,2014-12-25,property mgmt fee,2
173,expense,260.0,2015-01-25,property mgmt fee,2
174,expense,260.0,2015-02-04,cleaning fee,2
175,expense,260.0,2015-02-22,home improvements,2
176,expense,260.0,2015-02-25,property mgmt fee,2
177,expense,260.0,2015-03-25,property mgmt fee,2
178,expense,260.0,2015-04-25,property mgmt fee,2
179,expense,260.0,2015-05-25,property mgmt fee,2
180,expense,260.0,2015-06-25,property mgmt fee,2
181,expense,260.0,2015-07-25,property mgmt fee,2
182,expense,260.0,2015-08-25,property mgmt fee,2
183,expense,260.0,2015-09-09,cleaning fee,2
184,expense,260.0,2015-09-25,property mgmt fee,2
185,expense,260.0,2015-10-25,property mgmt fee,2
186,expense,260.0,2015-11-07,repairs,2
187,expense,260.0,2015-11-25,property mgmt fee,2
188,expense,260.0,2015-12-04,cleaning fee,2
189,expense,260.0,2015-12-25,property mgmt fee,2
190,expense,260.0,2016-01-25,property mgmt fee,2
191,expense,260.0,2016-02-25,property mgmt fee,2
192,expense,260.0,2016-03-25,property mgmt fee,2
193,expense,260.0,2016-04-02,repairs,2
194,expense,260.0,2016-04-25,property mgmt fee,2
195,expense,260.0,2016-05-25,property mgmt fee,2
196,expense,260.0,2016-06-25,property mgmt fee,2
197,expense,260.0,2016-07-25,property mgmt fee,2
198,expense,260.0,2016-08-25,property mgmt fee,2
199,expense,260.0,2016-09-25,property mgmt fee,2
200,expense,260.0,2016-10-25,property mgmt fee,2
201,expense,260.0,2016-11-13,home improvements,2
202,expense,260.0,2016-11-25,property mgmt fee,2
203,expense,260.0,2016-12-15,cleaning fee,2
204,expense,260.0,2016-12-20,repairs,2
205,expense,260.0,2016-12-25,property mgmt fee,2
206,expense,260.0,2017-01-25,property mgmt fee,2
207,expense,260.0,2017-02-23,repairs,2
209,expense,260.0,2017-02-25,property mgmt fee,2
208,expense,260.0,2017-03-16,cleaning fee,2
210,expense,260.0,2017-03-25,property mgmt fee,2
211,expense,260.0,2017-04-25,property mgmt fee,2
212,expense,260.0,2017-05-25,property mgmt fee,2
213,expense,260.0,2017-06-25,property mgmt fee,2
214,expense,260.0,2017-07-25,property mgmt fee,2
84,payment,2600.0,2017-08-19,security deposit,2
85,payment,2600.0,2017-08-19,rent,2
215,expense,260.0,2017-08-25,property mgmt fee,2
86,payment,2600.0,2017-09-19,rent,2
216,expense,260.0,2017-09-25,property mgmt fee,2
87,payment,2600.0,2017-10-19,rent,2
217,expense,260.0,2017-10-25,property mgmt fee,2
88,payment,2600.0,2017-11-19,rent,2
218,expense,260.0,2017-11-25,property mgmt fee,2
219,expense,260.0,2017-12-05,cleaning fee,2
89,payment,2600.0,2017-12-19,rent,2
220,expense,260.0,2017-12-25,property mgmt fee,2
90,payment,2600.0,2018-01-19,rent,2
221,expense,260.0,2018-01-25,property mgmt fee,2
222,expense,260.0,2018-02-10,regular maintenance,2
91,payment,2600.0,2018-02-19,rent,2
223,expense,260.0,2018-02-25,property mgmt fee,2
92,payment,2600.0,2018-03-19,rent,2
224,expense,260.0,2018-03-25,property mgmt fee,2
93,payment,2600.0,2018-04-19,rent,2
225,expense,260.0,2018-04-25,property mgmt fee,2
226,expense,260.0,2018-05-12,home improvements,2
94,payment,2600.0,2018-05-19,rent,2
227,expense,260.0,2018-05-25,cleaning fee,2
228,expense,260.0,2018-05-25,property mgmt fee,2
95,payment,2600.0,2018-06-19,rent,2
229,expense,260.0,2018-06-25,property mgmt fee,2
96,payment,2600.0,2018-07-19,rent,2
230,expense,260.0,2018-07-25,property mgmt fee,2
97,payment,2600.0,2018-08-19,rent,2
231,expense,260.0,2018-08-25,property mgmt fee,2
98,payment,2600.0,2018-09-19,rent,2
232,expense,260.0,2018-09-25,property mgmt fee,2
233,expense,260.0,2018-10-10,cleaning fee,2
99,payment,2600.0,2018-10-19,rent,2
235,expense,260.0,2018-10-25,property mgmt fee,2
236,expense,260.0,2018-11-02,repairs,2
234,expense,260.0,2018-11-07,regular maintenance,2
100,payment,2600.0,2018-11-19,rent,2
237,expense,260.0,2018-11-25,property mgmt fee,2
101,payment,2600.0,2018-12-19,rent,2
238,expense,260.0,2018-12-22,cleaning fee,2
239,expense,260.0,2018-12-25,property mgmt fee,2
102,payment,2600.0,2019-01-19,rent,2
240,expense,260.0,2019-01-25,property mgmt fee,2
103,payment,2600.0,2019-02-19,rent,2
