ID,Type,Amount,Date,Detail,Unit
1,payment,2350.0,2015-08-25,security deposit,1
2,payment,2850.0,2015-08-25,rent,1
3,payment,2850.0,2015-09-25,rent,1
4,payment,2850.0,2015-10-25,rent,1
5,payment,2850.0,2015-11-25,rent,1
6,payment,2850.0,2015-12-25,rent,1
7,payment,2850.0,2016-01-25,rent,1
8,payment,2850.0,2016-02-25,rent,1
9,payment,2850.0,2016-03-25,rent,1
10,payment,2850.0,2016-04-25,rent,1
11,payment,2850.0,2016-05-25,rent,1
12,payment,2850.0,2016-06-25,rent,1
13,payment,2850.0,2016-07-25,rent,1
14,payment,2850.0,2016-08-25,rent,1
15,payment,2850.0,2016-09-25,rent,1
16,payment,2850.0,2016-10-25,rent,1
17,payment,2850.0,2016-11-25,rent,1
18,payment,2850.0,2016-12-25,rent,1
19,payment,2850.0,2017-01-25,rent,1
20,payment,2850.0,2017-02-25,rent,1
21,payment,2850.0,2017-03-25,rent,1
22,payment,2850.0,2017-04-25,rent,1
23,payment,2850.0,2017-05-25,rent,1
24,payment,2850.0,2017-06-25,rent,1
25,payment,2850.0,2017-07-25,rent,1
26,payment,2850.0,2017-08-25,rent,1
27,payment,2850.0,2017-09-25,rent,1
28,payment,2850.0,2017-10-25,rent,1
29,payment,2850.0,2017-11-25,rent,1
30,payment,2850.0,2017-12-25,rent,1
31,payment,2850.0,2018-01-25,rent,1
32,payment,2850.0,2018-02-25,rent,1
33,payment,2850.0,2018-03-25,rent,1
34,payment,2850.0,2018-04-25,rent,1
35,payment,2850.0,2018-05-25,rent,1
36,payment,2850.0,2018-06-25,rent,1
37,payment,2850.0,2018-07-25,rent,1
38,payment,2850.0,2018-08-25,rent,1
39,payment,2850.0,2018-09-25,rent,1
40,payment,2850.0,2018-10-25,rent,1
41,payment,2850.0,2018-11-25,rent,1
42,payment,2850.0,2018-12-25,rent,1
43,payment,2850.0,2019-01-25,rent,1
44,payment,2850.0,2019-02-25,rent,1
45,payment,2850.0,2019-03-25,rent,1
46,payment,2850.0,2019-04-25,rent,1
1,expense,2821.0,2019-05-03,mortgage,1
2,expense,235.0,2019-05-03,property mgmt fee,1
3,expense,235.0,2019-05-15,cleaning fee,1
47,payment,2850.0,2019-05-25,rent,1
4,expense,2821.0,2019-06-03,mortgage,1
5,expense,235.0,2019-06-03,property mgmt fee,1
48,payment,2850.0,2019-06-25,rent,1
6,expense,2821.0,2019-07-03,mortgage,1
7,expense,235.0,2019-07-03,property mgmt fee,1
49,payment,2850.0,2019-07-25,rent,1
8,expense,2821.0,2019-08-03,mortgage,1
9,expense,235.0,2019-08-03,property mgmt fee,1
50,payment,2850.0,2019-08-25,rent,1
10,expense,235.0,2019-09-01,home improvements,1
12,expense,2821.0,2019-09-03,mortgage,1
13,expense,235.0,2019-09-03,property mgmt fee,1
11,expense,235.0,2019-09-10,repairs,1
51,payment,2350.0,2019-09-16,security deposit,1
52,payment,2850.0,2019-09-16,rent,1
14,expense,2821.0,2019-10-03,mortgage,1
15,expense,235.0,2019-10-03,property mgmt fee,1
53,payment,2850.0,2019-10-16,rent,1
16,expense,2821.0,2019-11-03,mortgage,1
17,expense,235.0,2019-11-03,property mgmt fee,1
54,payment,2850.0,2019-11-16,rent,1
18,expense,235.0,2019-11-24,home improvements,1
19,expense,2821.0,2019-12-03,mortgage,1
20,expense,235.0,2019-12-03,property mgmt fee,1
55,payment,2850.0,2019-12-16,rent,1
21,expense,2821.0,2020-01-03,mortgage,1
22,expense,235.0,2020-01-03,property mgmt fee,1
56,payment,2850.0,2020-01-16,rent,1
23,expense,2821.0,2020-02-03,mortgage,1
24,expense,235.0,2020-02-03,property mgmt fee,1
57,payment,2850.0,2020-02-16,rent,1
25,expense,235.0,2020-02-22,cleaning fee,1
27,expense,2821.0,2020-03-03,mortgage,1
28,expense,235.0,2020-03-03,property mgmt fee,1
26,expense,235.0,2020-03-12,repairs,1
58,payment,2850.0,2020-03-16,rent,1
29,expense,2821.0,2020-04-03,mortgage,1
30,expense,235.0,2020-04-03,property mgmt fee,1
59,payment,2850.0,2020-04-16,rent,1
31,expense,2821.0,2020-05-03,mortgage,1
32,expense,235.0,2020-05-03,property mgmt fee,1
60,payment,2850.0,2020-05-16,rent,1
33,expense,2821.0,2020-06-03,mortgage,1
34,expense,235.0,2020-06-03,property mgmt fee,1
61,payment,2850.0,2020-06-16,rent,1
35,expense,2821.0,2020-07-03,mortgage,1
36,expense,235.0,2020-07-03,property mgmt fee,1
62,payment,2850.0,2020-07-16,rent,1
37,expense,235.0,2020-07-20,regular maintenance,1
38,expense,2821.0,2020-08-03,mortgage,1
39,expense,235.0,2020-08-03,property mgmt fee,1
63,payment,2850.0,2020-08-16,rent,1
40,expense,2821.0,2020-09-03,mortgage,1
41,expense,235.0,2020-09-03,property mgmt fee,1
64,payment,2850.0,2020-09-16,rent,1
42,expense,2821.0,2020-10-03,mortgage,1
