ID,Type,Amount,Date,Detail,Unit
1,expense,220.0,2014-12-25,property mgmt fee,1
2,expense,220.0,2015-01-25,property mgmt fee,1
3,expense,220.0,2015-02-25,property mgmt fee,1
4,expense,220.0,2015-03-22,cleaning fee,1
5,expense,220.0,2015-03-25,property mgmt fee,1
6,expense,220.0,2015-04-25,property mgmt fee,1
7,expense,220.0,2015-05-23,repairs,1
9,expense,220.0,2015-05-25,property mgmt fee,1
8,expense,220.0,2015-06-08,regular maintenance,1
10,expense,220.0,2015-06-25,property mgmt fee,1
11,expense,220.0,2015-07-25,property mgmt fee,1
12,expense,220.0,2015-08-16,home improvements,1
13,expense,220.0,2015-08-25,property mgmt fee,1
14,expense,220.0,2015-09-25,property mgmt fee,1
15,expense,220.0,2015-10-25,property mgmt fee,1
16,expense,220.0,2015-11-25,property mgmt fee,1
17,expense,220.0,2015-12-25,property mgmt fee,1
18,expense,220.0,2016-01-24,regular maintenance,1
19,expense,220.0,2016-01-25,property mgmt fee,1
20,expense,220.0,2016-02-25,property mgmt fee,1
21,expense,220.0,2016-03-01,repairs,1
22,expense,220.0,2016-03-23,cleaning fee,1
23,expense,220.0,2016-03-25,property mgmt fee,1
24,expense,220.0,2016-04-25,property mgmt fee,1
25,expense,220.0,2016-05-08,home improvements,1
26,expense,220.0,2016-05-25,property mgmt fee,1
27,expense,220.0,2016-06-25,property mgmt fee,1
28,expense,220.0,2016-07-25,property mgmt fee,1
29,expense,220.0,2016-07-30,regular maintenance,1
30,expense,220.0,2016-08-15,repairs,1
31,expense,220.0,2016-08-25,property mgmt fee,1
32,expense,220.0,2016-09-25,property mgmt fee,1
33,expense,220.0,2016-10-25,property mgmt fee,1
34,expense,220.0,2016-11-25,property mgmt fee,1
35,expense,220.0,2016-12-25,property mgmt fee,1
36,expense,220.0,2017-01-16,repairs,1
37,expense,220.0,2017-01-25,property mgmt fee,1
38,expense,220.0,2017-02-25,property mgmt fee,1
39,expense,220.0,2017-03-25,property mgmt fee,1
40,expense,220.0,2017-04-25,property mgmt fee,1
41,expense,220.0,2017-05-25,property mgmt fee,1
42,expense,220.0,2017-05-30,regular maintenance,1
43,expense,220.0,2017-06-03,regular maintenance,1
44,expense,220.0,2017-06-25,property mgmt fee,1
45,expense,220.0,2017-07-25,property mgmt fee,1
46,expense,220.0,2017-08-25,property mgmt fee,1
47,expense,220.0,2017-09-06,regular maintenance,1
48,expense,220.0,2017-09-25,property mgmt fee,1
49,expense,220.0,2017-09-26,regular maintenance,1
50,expense,220.0,2017-10-25,property mgmt fee,1
51,expense,220.0,2017-10-27,regular maintenance,1
52,expense,220.0,2017-11-25,property mgmt fee,1
53,expense,220.0,2017-12-25,property mgmt fee,1
54,expense,220.0,2018-01-12,regular maintenance,1
55,expense,220.0,2018-01-25,property mgmt fee,1
56,expense,220.0,2018-02-03,home improvements,1
57,expense,220.0,2018-02-04,home improvements,1
58,expense,220.0,2018-02-25,property mgmt fee,1
1,payment,2200.0,2018-03-04,security deposit,1
2,payment,2200.0,2018-03-04,rent,1
59,expense,220.0,2018-03-25,property mgmt fee,1
3,payment,2200.0,2018-04-04,rent,1
60,expense,220.0,2018-04-25,property mgmt fee,1
4,payment,2200.0,2018-05-04,rent,1
61,expense,220.0,2018-05-25,property mgmt fee,1
5,payment,2200.0,2018-06-04,rent,1
62,expense,220.0,2018-06-25,property mgmt fee,1
6,payment,2200.0,2018-07-04,rent,1
63,expense,220.0,2018-07-08,regular maintenance,1
64,expense,220.0,2018-07-11,regular maintenance,1
65,expense,220.0,2018-07-25,property mgmt fee,1
7,payment,2200.0,2018-08-04,rent,1
