ID,Type,Amount,Date,Detail,Unit
606,expense,2008.0,2017-03-20,mortgage,3
607,expense,180.0,2017-03-20,property mgmt fee,3
608,expense,2008.0,2017-04-20,mortgage,3
609,expense,180.0,2017-04-20,property mgmt fee,3
252,payment,1800.0,2017-04-26,security deposit,3
253,payment,1800.0,2017-04-26,rent,3
610,expense,2008.0,2017-05-20,mortgage,3
611,expense,180.0,2017-05-20,property mgmt fee,3
254,payment,1800.0,2017-05-26,rent,3
612,expense,180.0,2017-05-30,repairs,3
613,expense,2008.0,2017-06-20,mortgage,3
614,expense,180.0,2017-06-20,property mgmt fee,3
255,payment,1800.0,2017-06-26,rent,3
615,expense,2008.0,2017-07-20,mortgage,3
616,expense,180.0,2017-07-20,property mgmt fee,3
256,payment,1800.0,2017-07-26,rent,3
617,expense,2008.0,2017-08-20,mortgage,3
618,expense,180.0,2017-08-20,property mgmt fee,3
257,payment,1800.0,2017-08-26,rent,3
619,expense,2008.0,2017-09-20,mortgage,3
620,expense,180.0,2017-09-20,property mgmt fee,3
258,payment,1800.0,2017-09-26,rent,3
621,expense,180.0,2017-10-13,repairs,3
623,expense,2008.0,2017-10-20,mortgage,3
624,expense,180.0,2017-10-20,property mgmt fee,3
259,payment,1800.0,2017-10-26,rent,3
622,expense,180.0,2017-11-10,cleaning fee,3
625,expense,2008.0,2017-11-20,mortgage,3
626,expense,180.0,2017-11-20,property mgmt fee,3
260,payment,1800.0,2017-11-26,rent,3
627,expense,2008.0,2017-12-20,mortgage,3
628,expense,180.0,2017-12-20,property mgmt fee,3
261,payment,1800.0,2017-12-26,rent,3
629,expense,2008.0,2018-01-20,mortgage,3
630,expense,180.0,2018-01-20,property mgmt fee,3
262,payment,1800.0,2018-01-26,rent,3
631,expense,2008.0,2018-02-20,mortgage,3
632,expense,180.0,2018-02-20,property mgmt fee,3
263,payment,1800.0,2018-02-26,rent,3
633,expense,2008.0,2018-03-20,mortgage,3
634,expense,180.0,2018-03-20,property mgmt fee,3
264,payment,1800.0,2018-03-26,rent,3
635,expense,180.0,2018-03-28,home improvements,3
636,expense,180.0,2018-04-03,home improvements,3
637,expense,2008.0,2018-04-20,mortgage,3
638,expense,180.0,2018-04-20,property mgmt fee,3
265,payment,1800.0,2018-04-26,rent,3
639,expense,2008.0,2018-05-20,mortgage,3
640,expense,180.0,2018-05-20,property mgmt fee,3
266,payment,1800.0,2018-05-26,rent,3
641,expense,2008.0,2018-06-20,mortgage,3
642,expense,180.0,2018-06-20,property mgmt fee,3
643,expense,180.0,2018-06-24,home improvements,3
267,payment,1800.0,2018-06-26,rent,3
644,expense,2008.0,2018-07-20,mortgage,3
645,expense,180.0,2018-07-20,property mgmt fee,3
268,payment,1800.0,2018-07-26,rent,3
646,expense,2008.0,2018-08-20,mortgage,3
647,expense,180.0,2018-08-20,property mgmt fee,3
648,expense,2008.0,2018-09-20,mortgage,3
649,expense,180.0,2018-09-20,property mgmt fee,3
269,payment,1800.0,2018-09-23,security deposit,3
270,payment,1800.0,2018-09-23,rent,3
650,expense,2008.0,2018-10-20,mortgage,3
651,expense,180.0,2018-10-20,property mgmt fee,3
271,payment,1800.0,2018-10-23,rent,3
652,expense,2008.0,2018-11-20,mortgage,3
653,expense,180.0,2018-11-20,property mgmt fee,3
272,payment,1800.0,2018-11-23,rent,3
654,expense,2008.0,2018-12-20,mortgage,3
655,expense,180.0,2018-12-20,property mgmt fee,3
273,payment,1800.0,2018-12-23,rent,3
656,expense,2008.0,2019-01-20,mortgage,3
657,expense,180.0,2019-01-20,property mgmt fee,3
658,expense,180.0,2019-01-21,cleaning fee,3
274,payment,1800.0,2019-01-23,rent,3
659,expense,180.0,2019-02-02,cleaning fee,3
660,expense,2008.0,2019-02-20,mortgage,3
661,expense,180.0,2019-02-20,property mgmt fee,3
275,payment,1800.0,2019-02-23,rent,3
662,expense,180.0,2019-03-08,cleaning fee,3
663,expense,2008.0,2019-03-20,mortgage,3
664,expense,180.0,2019-03-20,property mgmt fee,3
276,payment,1800.0,2019-03-23,rent,3
665,expense,2008.0,2019-04-20,mortgage,3
666,expense,180.0,2019-04-20,property mgmt fee,3
277,payment,1800.0,2019-04-23,rent,3
667,expense,2008.0,2019-05-20,mortgage,3
668,expense,180.0,2019-05-20,property mgmt fee,3
278,payment,1800.0,2019-05-23,rent,3
669,expense,180.0,2019-06-01,regular maintenance,3
671,expense,2008.0,2019-06-20,mortgage,3
672,expense,180.0,2019-06-20,property mgmt fee,3
279,payment,1800.0,2019-06-23,rent,3
673,expense,180.0,2019-06-25,home improvements,3
670,expense,180.0,2019-06-26,repairs,3
674,expense,2008.0,2019-07-20,mortgage,3
675,expense,180.0,2019-07-20,property mgmt fee,3
280,payment,1800.0,2019-07-23,rent,3
676,expense,180.0,2019-08-14,regular maintenance,3
677,expense,180.0,2019-08-16,cleaning fee,3
678,expense,2008.0,2019-08-20,mortgage,3
679,expense,180.0,2019-08-20,property mgmt fee,3
281,payment,1800.0,2019-08-23,rent,3
680,expense,2008.0,2019-09-20,mortgage,3
681,expense,180.0,2019-09-20,property mgmt fee,3
282,payment,1800.0,2019-09-23,rent,3
682,expense,2008.0,2019-10-20,mortgage,3
683,expense,180.0,2019-10-20,property mgmt fee,3
283,payment,1800.0,2019-10-23,rent,3
684,expense,2008.0,2019-11-20,mortgage,3
685,expense,180.0,2019-11-20,property mgmt fee,3
284,payment,1800.0,2019-11-23,rent,3
686,expense,2008.0,2019-12-20,mortgage,3
687,expense,180.0,2019-12-20,property mgmt fee,3
285,payment,1800.0,2019-12-23,rent,3
688,expense,2008.0,2020-01-20,mortgage,3
689,expense,180.0,2020-01-20,property mgmt fee,3
286,payment,1800.0,2020-01-23,rent,3
690,expense,2008.0,2020-02-20,mortgage,3
691,expense,180.0,2020-02-20,property mgmt fee,3
287,payment,1800.0,2020-02-23,rent,3
692,expense,180.0,2020-03-16,home improvements,3
694,expense,2008.0,2020-03-20,mortgage,3
695,expense,180.0,2020-03-20,property mgmt fee,3
288,payment,1800.0,2020-03-23,rent,3
696,expense,180.0,2020-03-24,repairs,3
693,expense,180.0,2020-04-05,home improvements,3
697,expense,2008.0,2020-04-20,mortgage,3
698,expense,180.0,2020-04-20,property mgmt fee,3
289,payment,1800.0,2020-04-23,rent,3
699,expense,2008.0,2020-05-20,mortgage,3
700,expense,180.0,2020-05-20,property mgmt fee,3
290,payment,1800.0,2020-05-23,rent,3
701,expense,180.0,2020-05-27,regular maintenance,3
702,expense,2008.0,2020-06-20,mortgage,3
703,expense,180.0,2020-06-20,property mgmt fee,3
291,payment,1800.0,2020-06-23,rent,3
704,expense,2008.0,2020-07-20,mortgage,3
705,expense,180.0,2020-07-20,property mgmt fee,3
292,payment,1800.0,2020-07-23,rent,3
706,expense,180.0,2020-08-07,repairs,3
707,expense,2008.0,2020-08-20,mortgage,3
708,expense,180.0,2020-08-20,property mgmt fee,3
293,payment,1800.0,2020-08-23,rent,3
709,expense,2008.0,2020-09-20,mortgage,3
710,expense,180.0,2020-09-20,property mgmt fee,3
294,payment,1800.0,2020-09-23,rent,3
711,expense,180.0,2020-10-10,repairs,3
712,expense,2008.0,2020-10-20,mortgage,3
713,expense,180.0,2020-10-20,property mgmt fee,3
295,payment,1800.0,2020-10-23,rent,3
714,expense,2008.0,2020-11-20,mortgage,3
715,expense,180.0,2020-11-20,property mgmt fee,3
296,payment,1800.0,2020-11-23,rent,3
716,expense,180.0,2020-11-28,cleaning fee,3
717,expense,2008.0,2020-12-20,mortgage,3
718,expense,180.0,2020-12-20,property mgmt fee,3
297,payment,1800.0,2020-12-23,rent,3
719,expense,180.0,2021-01-09,regular maintenance,3
721,expense,2008.0,2021-01-20,mortgage,3
722,expense,180.0,2021-01-20,property mgmt fee,3
720,expense,180.0,2021-01-21,cleaning fee,3
298,payment,1800.0,2021-01-23,rent,3
723,expense,180.0,2021-02-04,home improvements,3
724,expense,2008.0,2021-02-20,mortgage,3
725,expense,180.0,2021-02-20,property mgmt fee,3
299,payment,1800.0,2021-02-23,rent,3
726,expense,2008.0,2021-03-20,mortgage,3
727,expense,180.0,2021-03-20,property mgmt fee,3
300,payment,1800.0,2021-03-23,rent,3
728,expense,180.0,2021-04-16,cleaning fee,3
729,expense,2008.0,2021-04-20,mortgage,3
730,expense,180.0,2021-04-20,property mgmt fee,3
301,payment,1800.0,2021-04-23,rent,3
731,expense,2008.0,2021-05-20,mortgage,3
732,expense,180.0,2021-05-20,property mgmt fee,3
302,payment,1800.0,2021-05-23,rent,3
733,expense,2008.0,2021-06-20,mortgage,3
734,expense,180.0,2021-06-20,property mgmt fee,3
303,payment,1800.0,2021-06-23,rent,3
735,expense,2008.0,2021-07-20,mortgage,3
736,expense,180.0,2021-07-20,property mgmt fee,3
304,payment,1800.0,2021-07-23,rent,3
737,expense,180.0,2021-08-15,home improvements,3
739,expense,2008.0,2021-08-20,mortgage,3
