ID,Type,Amount,Date,Category,Unit
262,expense,1620.0,2023-01-03,mortgage,1
263,expense,320.0,2023-01-03,property mgmt,1
110,payment,3200.0,2023-01-04,rent,1
264,expense,1620.0,2023-02-03,mortgage,1
265,expense,320.0,2023-02-03,property mgmt,1
111,payment,3200.0,2023-02-04,rent,1
266,expense,1620.0,2023-03-03,mortgage,1
267,expense,320.0,2023-03-03,property mgmt,1
112,payment,3200.0,2023-03-04,rent,1
268,expense,1620.0,2023-04-03,mortgage,1
269,expense,320.0,2023-04-03,property mgmt,1
113,payment,3200.0,2023-04-04,rent,1
553,expense,1620.0,2023-01-15,mortgage,2
554,expense,310.0,2023-01-15,property mgmt,2
227,payment,3100.0,2023-02-08,security deposit,2
228,payment,3100.0,2023-02-08,rent,2
555,expense,1620.0,2023-02-15,mortgage,2
556,expense,310.0,2023-02-15,property mgmt,2
229,payment,3100.0,2023-03-08,rent,2
557,expense,1620.0,2023-03-15,mortgage,2
558,expense,310.0,2023-03-15,property mgmt,2
230,payment,3100.0,2023-04-08,rent,2
559,expense,1620.0,2023-04-15,mortgage,2
560,expense,310.0,2023-04-15,property mgmt,2
324,payment,2500.0,2023-01-05,rent,3
795,expense,1620.0,2023-01-25,mortgage,3
796,expense,250.0,2023-01-25,property mgmt,3
325,payment,2500.0,2023-02-05,rent,3
797,expense,1620.0,2023-02-25,mortgage,3
798,expense,250.0,2023-02-25,property mgmt,3
326,payment,2500.0,2023-03-05,rent,3
799,expense,1620.0,2023-03-25,mortgage,3
800,expense,250.0,2023-03-25,property mgmt,3
327,payment,2500.0,2023-04-05,rent,3
981,expense,270.0,2022-12-31,cleaning,4
406,payment,2700.0,2023-01-27,rent,4
982,expense,1620.0,2023-01-28,mortgage,4
983,expense,270.0,2023-01-28,property mgmt,4
407,payment,2700.0,2023-02-27,rent,4
984,expense,1620.0,2023-02-28,mortgage,4
985,expense,270.0,2023-02-28,property mgmt,4
408,payment,2700.0,2023-03-27,rent,4
986,expense,1620.0,2023-03-28,mortgage,4
987,expense,270.0,2023-03-28,property mgmt,4
474,payment,1800.0,2023-01-07,rent,5
1147,expense,1620.0,2023-01-25,mortgage,5
1148,expense,180.0,2023-01-25,property mgmt,5
475,payment,1800.0,2023-02-07,rent,5
1149,expense,1620.0,2023-02-25,mortgage,5
1150,expense,180.0,2023-02-25,property mgmt,5
1151,expense,180.0,2023-03-07,cleaning,5
1152,expense,1620.0,2023-03-25,mortgage,5
1153,expense,180.0,2023-03-25,property mgmt,5
476,payment,1800.0,2023-04-04,security deposit,5
477,payment,1800.0,2023-04-04,rent,5
