ID,Type,Amount,Date,Category,Unit
606,expense,3622.0,2016-03-30,mortgage,3
607,expense,325.0,2016-03-30,property mgmt,3
256,payment,3250.0,2016-04-18,security deposit,3
257,payment,3250.0,2016-04-18,rent,3
608,expense,3622.0,2016-04-30,mortgage,3
609,expense,325.0,2016-04-30,property mgmt,3
258,payment,3250.0,2016-05-18,rent,3
610,expense,3622.0,2016-05-30,mortgage,3
611,expense,325.0,2016-05-30,property mgmt,3
612,expense,325.0,2016-06-15,rennovations,3
259,payment,3250.0,2016-06-18,rent,3
613,expense,3622.0,2016-06-30,mortgage,3
614,expense,325.0,2016-06-30,property mgmt,3
615,expense,325.0,2016-07-15,maintenance,3
260,payment,3250.0,2016-07-18,rent,3
616,expense,3622.0,2016-07-30,mortgage,3
617,expense,325.0,2016-07-30,property mgmt,3
261,payment,3250.0,2016-08-18,rent,3
618,expense,325.0,2016-08-18,repairs,3
620,expense,3622.0,2016-08-30,mortgage,3
621,expense,325.0,2016-08-30,property mgmt,3
619,expense,325.0,2016-09-10,repairs,3
622,expense,325.0,2016-09-15,maintenance,3
262,payment,3250.0,2016-09-18,rent,3
623,expense,3622.0,2016-09-30,mortgage,3
624,expense,325.0,2016-09-30,property mgmt,3
625,expense,325.0,2016-10-05,repairs,3
263,payment,3250.0,2016-10-18,rent,3
626,expense,3622.0,2016-10-30,mortgage,3
627,expense,325.0,2016-10-30,property mgmt,3
264,payment,3250.0,2016-11-18,rent,3
628,expense,3622.0,2016-11-30,mortgage,3
629,expense,325.0,2016-11-30,property mgmt,3
265,payment,3250.0,2016-12-18,rent,3
630,expense,325.0,2016-12-20,cleaning,3
631,expense,325.0,2016-12-24,cleaning,3
632,expense,3622.0,2016-12-30,mortgage,3
633,expense,325.0,2016-12-30,property mgmt,3
266,payment,3250.0,2017-01-18,rent,3
634,expense,3622.0,2017-01-30,mortgage,3
635,expense,325.0,2017-01-30,property mgmt,3
267,payment,3250.0,2017-02-18,rent,3
636,expense,3622.0,2017-02-28,mortgage,3
637,expense,325.0,2017-02-28,property mgmt,3
268,payment,3250.0,2017-03-18,rent,3
638,expense,3622.0,2017-03-28,mortgage,3
639,expense,325.0,2017-03-28,property mgmt,3
269,payment,3250.0,2017-04-18,rent,3
640,expense,3622.0,2017-04-28,mortgage,3
641,expense,325.0,2017-04-28,property mgmt,3
